,MonitoringDate,MonitoringLocationIdentifier,COD,DIN,DIP,DO,TPH,pH,month,cluster_kmeans_2,cluster_agglomerative_2,cluster_spectral_2,cluster_kmeans_3,cluster_agglomerative_3,cluster_spectral_3,cluster_kmeans_4,cluster_agglomerative_4,cluster_spectral_4
153,2021-04-01,409,1.03,0.005,0.0,10.309099999999994,0.03,8.14,4,0,0,0,0,2,0,3,2,3
154,2021-07-01,409,1.16,0.035,0.0,8.673849999999996,0.002,8.15,7,0,0,0,0,2,0,3,2,3
155,2021-10-01,409,1.35,0.0605,0.0035,9.201000000000004,0.006500000000000001,8.129999999999999,10,0,0,0,0,2,0,3,2,3
156,2022-07-01,409,1.16,0.279,0.0,7.770899999999998,0.002,7.98,7,0,0,0,0,0,2,3,0,3
157,2017-08-01,410,1.31,0.187,0.006,6.248299999999998,0.018,8.01,8,0,0,0,2,0,2,2,0,3
158,2018-08-01,410,1.12,0.187,0.006,7.966399999999998,0.018,8.37,8,0,0,0,0,0,2,3,3,3
159,2019-07-01,410,1.31,0.295,0.0,7.832999999999996,0.002,7.99,7,0,0,0,0,0,2,3,0,3
160,2020-05-01,410,0.73,0.138,0.003,9.187949999999999,0.018,7.97,5,0,0,0,0,2,0,3,2,3
161,2020-08-01,410,1.12,0.195,0.002,9.0226,0.011,8.4,8,0,0,0,0,2,0,3,2,3
162,2020-10-01,410,1.26,0.187,0.001,7.837050000000002,0.016,8.2,10,0,0,0,0,0,2,3,0,3
163,2021-04-01,410,1.18,0.123,0.0,10.285949999999996,0.006,8.15,4,0,0,0,0,2,0,3,2,3
164,2021-07-01,410,1.31,0.295,0.0,7.832999999999996,0.002,7.99,7,0,0,0,0,0,2,3,0,3
165,2021-10-01,410,1.115,0.1805,0.0035,8.62755,0.0095,8.125,10,0,0,0,0,2,0,3,2,3
166,2022-07-01,410,1.39,0.295,0.0,7.944099999999999,0.002,7.8,7,0,0,0,0,0,2,3,0,3
167,2017-08-01,411,1.06,0.045,0.009,7.4027249999999984,0.019,8.12,8,0,0,0,2,0,2,0,0,3
168,2018-08-01,411,1.11,0.087,0.009,8.301550000000002,0.018,8.22,8,0,0,0,0,0,2,3,0,3
169,2019-07-01,411,1.14,0.021,0.0,8.354199999999999,0.003,8.08,7,0,0,0,0,2,0,3,2,3
170,2020-05-01,411,0.99,0.036,0.004,9.254200000000004,0.018,7.96,5,0,0,0,0,2,0,3,2,3
171,2020-08-01,411,1.26,0.145,0.001,9.397899999999998,0.005,8.44,8,0,0,0,0,2,0,3,2,3
172,2020-10-01,411,1.38,0.072,0.005,8.4502,0.024,8.08,10,0,0,0,0,2,0,3,2,3
173,2021-04-01,411,0.85,0.045,0.006,9.9222,0.002,8.03,4,0,0,0,0,2,0,3,2,3
174,2021-07-01,411,1.14,0.021,0.0,8.354199999999999,0.003,8.08,7,0,0,0,0,2,0,3,2,3
175,2021-10-01,411,1.18,0.08449999999999999,0.0095,8.489899999999999,0.012,8.09,10,0,0,0,0,2,0,3,2,3
176,2022-07-01,411,1.02,0.021,0.0,8.501399999999999,0.003,8.08,7,0,0,0,0,2,0,3,2,3
177,2017-08-01,412,1.06,0.062,0.006,7.8176999999999985,0.022,8.12,8,0,0,0,0,0,2,2,0,3
178,2018-08-01,412,1.07,0.138,0.006,8.207150000000002,0.018,8.22,8,0,0,0,0,0,2,3,0,3
179,2019-07-01,412,0.89,0.053,0.001,8.73765,0.003,8.11,7,0,0,0,0,2,0,3,2,3
180,2020-05-01,412,0.8,0.054,0.008,9.27835,0.015,7.94,5,0,0,0,0,2,0,3,2,3
181,2020-08-01,412,1.31,0.144,0.001,9.6234,0.008,8.45,8,0,0,0,0,2,0,3,2,3
182,2020-10-01,412,1.05,0.042,0.007,8.447200000000002,0.008,8.16,10,0,0,0,0,2,0,3,2,3
183,2021-04-01,412,0.52,0.07,0.009,10.250900000000007,0.001,8.11,4,0,0,0,0,2,0,3,2,3
184,2021-07-01,412,0.89,0.053,0.001,8.73765,0.003,8.11,7,0,0,0,0,2,0,3,2,3
185,2021-10-01,412,0.9550000000000001,0.049,0.008,9.297550000000003,0.005,8.135,10,0,0,0,0,2,0,3,2,3
186,2022-07-01,412,1.13,0.079,0.001,8.031399999999998,0.003,8.02,7,0,0,0,0,0,2,3,0,3
187,2017-08-01,413,1.08,0.046,0.006,8.465100000000001,0.026,8.2,8,0,0,0,0,0,2,3,0,3
188,2018-08-01,413,1.04,0.1295,0.013500000000000002,6.713849999999995,0.018,8.16,8,0,0,0,2,0,2,0,3,3
189,2019-07-01,413,0.715,0.044,0.005,8.06845,0.034,8.12,7,0,0,0,2,0,2,2,0,3
190,2017-08-01,414,1.14,0.061,0.009,7.734000000000002,0.014,8.11,8,0,0,0,0,0,2,3,0,3
191,2018-08-01,414,1.05,0.088,0.009,7.804150000000005,0.014,8.12,8,0,0,0,0,0,2,3,0,3
192,2019-07-01,414,1.1,0.046,0.0,8.420299999999994,0.003,8.08,7,0,0,0,0,2,0,3,2,3
193,2020-05-01,414,0.57,0.13,0.01,9.146750000000003,0.022,7.92,5,0,0,0,0,2,0,3,2,3
194,2020-08-01,414,1.05,0.088,0.004,8.632099999999994,0.006,8.35,8,0,0,0,0,2,0,3,2,3
195,2020-10-01,414,0.87,0.081,0.007,8.345500000000005,0.008,8.13,10,0,0,0,0,2,0,3,2,3
196,2021-04-01,414,1.11,0.108,0.005,10.208800000000004,0.004,8.01,4,0,0,0,0,2,0,3,2,3
197,2021-07-01,414,1.1,0.046,0.0,8.420299999999994,0.003,8.08,7,0,0,0,0,2,0,3,2,3
198,2021-10-01,414,0.9199999999999999,0.08,0.0075,8.9865,0.005,8.095,10,0,0,0,0,2,0,3,2,3
199,2022-07-01,414,1.1,0.046,0.0,8.284649999999994,0.003,8.01,7,0,0,0,0,2,2,3,2,3
200,2017-08-01,415,1.23,0.063,0.009,7.770450000000003,0.016,8.1,8,0,0,0,0,0,2,3,0,3
201,2018-08-01,415,1.23,0.086,0.009,8.190200000000008,0.016,8.33,8,0,0,0,0,2,2,3,2,3
202,2019-07-01,415,1.01,0.08,0.0,8.05125,0.004,7.99,7,0,0,0,0,2,2,3,2,3
203,2020-05-01,415,0.96,0.052,0.004,9.389300000000002,0.02,7.97,5,0,0,0,0,2,0,3,2,3
